物件名,住所,最寄り駅,賃料,間取り,面積
都営浅草線 東日本橋駅 10階建 築23年,東京都中央区日本橋浜町１,['都営浅草線/東日本橋駅 歩6分\n都営浅草線/人形町駅 歩9分\n都営新宿線/浜町駅 歩5分'],8.8万円,,
ＪＲ京浜東北線 神田駅 13階建 築19年,東京都千代田区神田錦町１,['ＪＲ京浜東北線/神田駅 歩9分\n東京メトロ半蔵門線/大手町駅 歩6分\nＪＲ中央線/御茶ノ水駅 歩12分'],13.2万円,,
東京メトロ有楽町線 新富町駅 13階建 築18年,東京都中央区築地２,['東京メトロ有楽町線/新富町駅 歩1分\n東京メトロ日比谷線/築地駅 歩2分\nＪＲ京葉線/八丁堀駅 歩8分'],9万円,,
東京メトロ有楽町線 新富町駅 12階建 築23年,東京都中央区入船２,['東京メトロ有楽町線/新富町駅 歩3分\n東京メトロ日比谷線/八丁堀駅 歩4分\n都営浅草線/宝町駅 歩10分'],8.4万円,,
ＪＲ総武線 浅草橋駅 8階建 築12年,東京都中央区日本橋馬喰町２,['ＪＲ総武線/浅草橋駅 歩3分\n都営大江戸線/蔵前駅 歩7分\nＪＲ山手線/秋葉原駅 歩14分'],17万円,,
都営新宿線 浜町駅 7階建 築2年,東京都中央区日本橋浜町３,['都営新宿線/浜町駅 歩6分\n東京メトロ半蔵門線/水天宮前駅 歩8分\n都営大江戸線/森下駅 歩10分'],18.5万円,,
センチュリーパークタワー,東京都中央区佃２,['東京メトロ有楽町線/月島駅 歩9分\n都営大江戸線/月島駅 歩9分\n東京メトロ日比谷線/八丁堀駅 歩11分'],22万円,,
東京メトロ日比谷線 東銀座駅 13階建 築17年,東京都中央区銀座２,['東京メトロ日比谷線/東銀座駅 歩3分\n東京メトロ有楽町線/銀座一丁目駅 歩4分\n東京メトロ有楽町線/新富町駅 歩6分'],27.5万円,,
勝鬨ハイデンス,東京都中央区勝どき２,['都営大江戸線/勝どき駅 歩1分\n東京メトロ有楽町線/月島駅 歩6分\n東京メトロ日比谷線/築地駅 歩17分'],11.7万円,,
晴海フラッグ パークヴィレッジ　E棟,東京都中央区晴海５,['都営大江戸線/勝どき駅 歩20分'],41.8万円,,
ＪＲ京葉線 八丁堀駅 10階建 築18年,東京都中央区新川１,['ＪＲ京葉線/八丁堀駅 歩8分\n東京メトロ東西線/茅場町駅 歩9分\n東京メトロ半蔵門線/水天宮前駅 歩9分'],11.2万円,,
東京メトロ半蔵門線 半蔵門駅 9階建 築50年,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩1分\n東京メトロ有楽町線/麹町駅 歩8分\nＪＲ中央線/市ケ谷駅 歩10分'],15.6万円,,
カスタリア銀座,東京都中央区銀座１,['東京メトロ有楽町線/銀座一丁目駅 歩2分\n都営浅草線/宝町駅 歩6分\n東京メトロ銀座線/銀座駅 歩6分'],16万円,,
都営大江戸線 勝どき駅 8階建 築27年,東京都中央区勝どき３,['都営大江戸線/勝どき駅 歩3分\n都営大江戸線/月島駅 歩11分\n東京メトロ日比谷線/築地駅 歩16分'],9.2万円,,
コンフォール勝どき,東京都中央区勝どき３,['都営大江戸線/勝どき駅 歩3分\n新交通ゆりかもめ/竹芝駅 歩11分\n東京メトロ日比谷線/築地駅 歩13分'],9.2万円,,
東京メトロ銀座線 三越前駅 地下1地上11階建 築20年,東京都中央区日本橋本町２,['東京メトロ銀座線/三越前駅 歩2分\n東京メトロ半蔵門線/三越前駅 歩2分\nＪＲ総武線快速/新日本橋駅 歩3分'],15.4万円,,
トーシンフェニックス日本橋兜町参番館,東京都中央区日本橋兜町,['東京メトロ東西線/茅場町駅 歩1分\n東京メトロ銀座線/日本橋駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩8分'],9.1万円,,
KDXレジデンス半蔵門,東京都千代田区麹町２,['東京メトロ半蔵門線/半蔵門駅 歩2分\n東京メトロ有楽町線/麹町駅 歩5分\nＪＲ中央線/四ツ谷駅 歩13分'],14万円,,
東京メトロ半蔵門線 神保町駅 4階建 築21年,東京都千代田区神田神保町１,['東京メトロ半蔵門線/神保町駅 歩3分\nＪＲ総武線/御茶ノ水駅 歩7分\n東京メトロ東西線/竹橋駅 歩10分'],10万円,,
オリオ九段下,東京都千代田区神田神保町３,['東京メトロ半蔵門線/九段下駅 歩2分\n都営三田線/神保町駅 歩3分\n東京メトロ東西線/竹橋駅 歩7分'],9.5万円,,
都営大江戸線 勝どき駅 20階建 築16年,東京都中央区晴海５,['都営大江戸線/勝どき駅 歩10分\n東京メトロ有楽町線/月島駅 歩19分'],14.5万円,,
都営浅草線 東日本橋駅 10階建 築22年,東京都中央区東日本橋１,['都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩2分\n都営新宿線/浜町駅 歩6分'],11.5万円,,
東京メトロ東西線 九段下駅 9階建 築24年,東京都千代田区九段北１,['東京メトロ東西線/九段下駅 歩2分\n都営三田線/神保町駅 歩4分\nＪＲ中央線/飯田橋駅 歩6分'],12.6万円,,
東京メトロ半蔵門線 半蔵門駅 6階建 築26年,東京都千代田区平河町２,['東京メトロ半蔵門線/半蔵門駅 歩5分\n東京メトロ南北線/永田町駅 歩5分\n東京メトロ有楽町線/麹町駅 歩9分'],18.8万円,,
アーバイル神田EAST,東京都千代田区神田須田町２,['都営新宿線/岩本町駅 歩1分\nＪＲ山手線/秋葉原駅 歩4分\nＪＲ山手線/神田駅 歩7分'],9万円,,
サンテミリオン茅場町リバーサイド,東京都中央区新川１,['東京メトロ東西線/茅場町駅 歩6分\n東京メトロ半蔵門線/水天宮前駅 歩8分\n東京メトロ銀座線/日本橋駅 歩12分'],8.1万円,,
一番町ファーストビル,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩4分\n東京メトロ有楽町線/麹町駅 歩4分\n都営新宿線/市ケ谷駅 歩12分'],11万円,,
HF東神田レジデンス,東京都千代田区東神田３,['ＪＲ山手線/秋葉原駅 歩7分\nＪＲ総武線快速/馬喰町駅 歩8分\nＪＲ総武線/浅草橋駅 歩2分'],9.5万円,,
プライムメゾン月島,東京都中央区月島２,['東京メトロ有楽町線/月島駅 歩3分\n都営大江戸線/勝どき駅 歩10分\nＪＲ京葉線/越中島駅 歩15分'],9万円,,
ＯＴＡＹＡビル,東京都中央区日本橋人形町２,['東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n都営新宿線/浜町駅 歩5分'],8.5万円,,
ＪＲ京葉線 八丁堀駅 9階建 築27年,東京都中央区入船１,['ＪＲ京葉線/八丁堀駅 歩2分\n東京メトロ有楽町線/新富町駅 歩6分\n東京メトロ日比谷線/築地駅 歩8分'],9.8万円,,
東京メトロ有楽町線 月島駅 12階建 築22年,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩1分\nＪＲ京葉線/越中島駅 歩12分\n都営大江戸線/勝どき駅 歩14分'],9.7万円,,
サンビュー外神田,東京都千代田区外神田３,['東京メトロ銀座線/末広町駅 歩1分\n東京メトロ千代田線/湯島駅 歩5分\nＪＲ山手線/秋葉原駅 歩8分'],23万円,,
K.EハイムIII,東京都中央区佃１,['東京メトロ有楽町線/月島駅 歩5分\nＪＲ京葉線/越中島駅 歩17分\n東京メトロ日比谷線/築地駅 歩18分'],9万円,,
お茶ノ水リバーサイド,東京都千代田区外神田２,['東京メトロ丸ノ内線/御茶ノ水駅 歩6分\n東京メトロ千代田線/新御茶ノ水駅 歩6分\nＪＲ山手線/秋葉原駅 歩6分'],8.3万円,,
日逓ビル,東京都中央区新川１,['東京メトロ東西線/茅場町駅 歩4分\nＪＲ京葉線/八丁堀駅 歩8分\n東京メトロ半蔵門線/水天宮前駅 歩8分'],8万円,,
Ｃｉｔｙ　Ｃｒｅａｔｉｏｎ茅場町,東京都中央区日本橋茅場町２,['東京メトロ東西線/茅場町駅 歩1分\n東京メトロ日比谷線/茅場町駅 歩1分\n都営浅草線/日本橋駅 歩6分'],9.9万円,,
都営浅草線 東日本橋駅 13階建 築22年,東京都中央区東日本橋３,['都営浅草線/東日本橋駅 歩1分\n都営新宿線/馬喰横山駅 歩4分\n東京メトロ日比谷線/小伝馬町駅 歩8分'],8.7万円,,
デュオ・スカーラ御茶ノ水II,東京都千代田区神田淡路町１,['東京メトロ丸ノ内線/淡路町駅 歩1分\nＪＲ山手線/神田駅 歩8分\n東京メトロ千代田線/新御茶ノ水駅 歩1分'],9.9万円,,
プレール九段,東京都千代田区九段北１,['東京メトロ東西線/九段下駅 歩1分\n東京メトロ半蔵門線/神保町駅 歩6分\nＪＲ中央線/水道橋駅 歩11分'],11.1万円,,
ＪＲ総武線 市ケ谷駅 8階建 築44年,東京都千代田区九段北４,['ＪＲ総武線/市ケ谷駅 歩4分\n東京メトロ半蔵門線/半蔵門駅 歩14分\n東京メトロ有楽町線/飯田橋駅 歩15分'],11.6万円,,
都営新宿線 市ケ谷駅 10階建 築22年,東京都千代田区九段南２,['都営新宿線/市ケ谷駅 歩7分\n東京メトロ東西線/九段下駅 歩8分\nＪＲ総武線/飯田橋駅 歩11分'],9.5万円,,
〇カーサ大伝馬,東京都中央区日本橋大伝馬町,['都営新宿線/馬喰横山駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩5分\n東京メトロ日比谷線/小伝馬町駅 歩6分'],11万円,,
ＪＲ山手線 神田駅 15階建 築22年,東京都千代田区岩本町１,['ＪＲ山手線/神田駅 歩6分\n東京メトロ日比谷線/秋葉原駅 歩10分\nＪＲ総武線快速/新日本橋駅 歩5分'],15.2万円,,
東京メトロ日比谷線 八丁堀駅 4階建 築25年,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩1分\nＪＲ京葉線/八丁堀駅 歩1分\n東京メトロ東西線/茅場町駅 歩7分'],10.5万円,,
東京メトロ有楽町線 麹町駅 9階建 築46年,東京都千代田区平河町２,['東京メトロ有楽町線/麹町駅 歩4分\n東京メトロ半蔵門線/半蔵門駅 歩5分\n東京メトロ銀座線/赤坂見附駅 歩10分'],9.9万円,,
マートルコート麹町,東京都千代田区九段南３,['東京メトロ有楽町線/市ケ谷駅 歩5分\n都営新宿線/市ケ谷駅 歩5分\nＪＲ中央線/市ケ谷駅 歩7分'],9.8万円,,
春日ビル,東京都中央区勝どき２,['都営大江戸線/勝どき駅 歩2分\n東京メトロ有楽町線/月島駅 歩12分\n東京メトロ日比谷線/築地駅 歩19分'],5.8万円,,
OLIO東神田,東京都千代田区東神田３,['ＪＲ山手線/秋葉原駅 歩7分\nＪＲ総武線/浅草橋駅 歩3分\n都営新宿線/岩本町駅 歩8分'],11.6万円,,
kobikissGINZA,東京都中央区銀座３,['都営浅草線/東銀座駅 歩2分\n東京メトロ銀座線/銀座駅 歩6分\n東京メトロ日比谷線/築地駅 歩6分'],46万円,,
Ｋ’ｓ麹町,東京都千代田区麹町１,['東京メトロ半蔵門線/半蔵門駅 歩1分\n東京メトロ有楽町線/麹町駅 歩6分\n東京メトロ有楽町線/永田町駅 歩15分'],14.4万円,,
東京メトロ半蔵門線 半蔵門駅 9階建 築20年,東京都千代田区麹町１,['東京メトロ半蔵門線/半蔵門駅 歩1分\n東京メトロ有楽町線/麹町駅 歩6分\nＪＲ中央線/市ケ谷駅 歩12分'],14.4万円,,
グランドメゾン麹町,東京都千代田区麹町１,['東京メトロ半蔵門線/半蔵門駅 歩1分\n東京メトロ有楽町線/麹町駅 歩6分\n東京メトロ有楽町線/永田町駅 歩12分'],22.8万円,,
MAC小網町コート,東京都中央区日本橋小網町,['都営浅草線/人形町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩9分\n東京メトロ日比谷線/茅場町駅 歩10分'],8.2万円,,
タウンハイツ銀座,東京都中央区銀座７,['東京メトロ日比谷線/東銀座駅 歩4分\nＪＲ山手線/新橋駅 歩8分\n都営大江戸線/築地市場駅 歩4分'],9.5万円,,
ParkWell秋葉原　【パークウェル秋葉原】,東京都千代田区岩本町３,['ＪＲ山手線/秋葉原駅 歩7分\nＪＲ山手線/神田駅 歩10分\nＪＲ総武線快速/馬喰町駅 歩7分'],11.1万円,,
東神田ＭＫビル,東京都千代田区東神田１,['ＪＲ総武線快速/馬喰町駅 歩4分\nＪＲ総武線/浅草橋駅 歩7分\n都営新宿線/岩本町駅 歩6分'],8.5万円,,
サンパーク東京銀座,東京都中央区入船１,['ＪＲ京葉線/八丁堀駅 歩3分\n東京メトロ有楽町線/新富町駅 歩6分\n東京メトロ日比谷線/築地駅 歩8分'],8.1万円,,
ＪＲ中央線 四ツ谷駅 8階建 築54年,東京都千代田区六番町,['ＪＲ中央線/四ツ谷駅 歩8分\n東京メトロ有楽町線/麹町駅 歩8分\nＪＲ中央線/市ケ谷駅 歩13分'],55万円,,
東京メトロ丸ノ内線 赤坂見附駅 14階建 築17年,東京都千代田区永田町２,['東京メトロ丸ノ内線/赤坂見附駅 歩7分\n東京メトロ半蔵門線/永田町駅 歩2分\n東京メトロ千代田線/国会議事堂前駅 歩7分'],15万円,,
東京メトロ有楽町線 市ケ谷駅 9階建 築22年,東京都千代田区三番町,['東京メトロ有楽町線/市ケ谷駅 歩8分\n東京メトロ半蔵門線/半蔵門駅 歩10分\n都営新宿線/九段下駅 歩14分'],24万円,,
アーノンブライト一番町,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩1分\n東京メトロ有楽町線/麹町駅 歩8分\n都営新宿線/市ケ谷駅 歩9分'],16万円,,
東京メトロ半蔵門線 半蔵門駅 11階建 築20年,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩1分\nＪＲ中央線/市ケ谷駅 歩10分\n東京メトロ有楽町線/麹町駅 歩8分'],16万円,,
ブルーメTAKAHASHI,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩4分\n東京メトロ東西線/茅場町駅 歩6分\n東京メトロ日比谷線/人形町駅 歩7分'],8.7万円,,
東京メトロ半蔵門線 半蔵門駅 地下1地上13階建 築22年,東京都千代田区麹町２,['東京メトロ半蔵門線/半蔵門駅 歩2分\n東京メトロ有楽町線/麹町駅 歩5分\nＪＲ総武線/四ツ谷駅 歩13分'],14万円,,
都営大江戸線 勝どき駅 10階建 築38年,東京都中央区勝どき６,['都営大江戸線/勝どき駅 歩7分\n都営大江戸線/築地市場駅 歩20分\n都営大江戸線/汐留駅 歩25分'],9万円,,
ケーズ麹町,東京都千代田区麹町１,['東京メトロ半蔵門線/半蔵門駅 歩1分\n東京メトロ有楽町線/麹町駅 歩5分\n都営新宿線/市ケ谷駅 歩13分'],14.4万円,,
ガラ・ステージ日本橋茅場町,東京都中央区新川１,['東京メトロ東西線/茅場町駅 歩7分\n東京メトロ日比谷線/茅場町駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩12分'],8.1万円,,
アーバネックス八丁堀,東京都中央区八丁堀３,['都営浅草線/宝町駅 歩2分\nＪＲ山手線/東京駅 歩13分\n東京メトロ銀座線/京橋駅 歩5分'],14万円,,
都営浅草線 宝町駅 7階建 築28年,東京都中央区八丁堀３,['都営浅草線/宝町駅 歩2分\nＪＲ山手線/東京駅 歩13分\n東京メトロ銀座線/京橋駅 歩5分'],14.8万円,,
秀和築地レジデンス,東京都中央区築地２,['東京メトロ有楽町線/新富町駅 歩1分\n東京メトロ日比谷線/築地駅 歩3分\n都営浅草線/東銀座駅 歩8分'],21万円,,
ＪＲ中央線 市ケ谷駅 9階建 築25年,東京都千代田区九段南３,['ＪＲ中央線/市ケ谷駅 歩7分\n東京メトロ東西線/九段下駅 歩9分\n東京メトロ半蔵門線/半蔵門駅 歩9分'],8.2万円,,
サンテミリオン九段,東京都千代田区九段南３,['東京メトロ有楽町線/市ケ谷駅 歩7分\n東京メトロ半蔵門線/九段下駅 歩9分'],8.2万円,,
インペリアルお茶の水,東京都千代田区神田小川町３,['都営新宿線/小川町駅 歩5分\n東京メトロ半蔵門線/神保町駅 歩6分\n東京メトロ丸ノ内線/淡路町駅 歩9分'],7.7万円,,
都営浅草線 東銀座駅 12階建 築2年,東京都中央区新富１,['都営浅草線/東銀座駅 歩10分\n東京メトロ銀座線/銀座駅 歩13分\n東京メトロ有楽町線/新富町駅 歩3分'],15万円,,
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＯＲＴ　ＶＩＬＬＡＧＥ　Ｄ棟,東京都中央区晴海５,['都営大江戸線/勝どき駅 歩16分'],23.8万円,,
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｂ棟（晴海フラッグ,東京都中央区晴海５,['都営大江戸線/勝どき駅 歩18分\nＪＲ山手線/有楽町駅 バス21分 (バス停)ほっとプラザはるみ前 歩4分\nＪＲ山手線/東京駅 バス27分 (バス停)ほっとプラザはるみ前 歩4分'],26万円,,
東京メトロ有楽町線 新富町駅 13階建 築54年,東京都中央区築地３,['東京メトロ有楽町線/新富町駅 歩3分\n東京メトロ日比谷線/築地駅 歩3分\nＪＲ京葉線/八丁堀駅 歩7分'],9万円,,
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｂ棟,東京都中央区晴海５,['都営大江戸線/勝どき駅 歩17分'],27万円,,
都営新宿線 市ケ谷駅 7階建 築40年,東京都千代田区三番町,['都営新宿線/市ケ谷駅 歩3分\n東京メトロ半蔵門線/半蔵門駅 歩9分\n東京メトロ有楽町線/麹町駅 歩12分'],13.8万円,,
DSビル,東京都中央区月島１,['東京メトロ有楽町線/月島駅 歩5分\n都営大江戸線/月島駅 歩5分\n都営大江戸線/勝どき駅 歩11分'],9.5万円,,
ＪＲ山手線 秋葉原駅 5階建 築21年,東京都千代田区岩本町３,['ＪＲ山手線/秋葉原駅 歩7分\n都営新宿線/岩本町駅 歩3分\n東京メトロ日比谷線/秋葉原駅 歩4分'],8.5万円,,
コンパートメント東京中央,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩1分\n東京メトロ東西線/茅場町駅 歩7分\n都営浅草線/宝町駅 歩8分'],12.8万円,,
東京メトロ銀座線 神田駅 13階建 築21年,東京都千代田区岩本町３,['東京メトロ銀座線/神田駅 歩7分\n東京メトロ日比谷線/秋葉原駅 歩5分\n都営新宿線/岩本町駅 歩3分'],10.1万円,,
セントラル東銀座,東京都中央区築地２,['東京メトロ日比谷線/築地駅 歩4分\n都営浅草線/東銀座駅 歩5分\n都営大江戸線/築地市場駅 歩9分'],7.2万円,,
アヴァンティーク銀座2丁目弐番館,東京都中央区銀座２,['東京メトロ銀座線/銀座駅 歩8分\n東京メトロ日比谷線/東銀座駅 歩8分\n東京メトロ有楽町線/新富町駅 歩6分'],10.7万円,,
東京メトロ銀座線 銀座駅 11階建 築23年,東京都中央区銀座２,['東京メトロ銀座線/銀座駅 歩8分\n東京メトロ日比谷線/東銀座駅 歩8分\n東京メトロ有楽町線/新富町駅 歩6分'],11.6万円,,
ＪＲ中央線 御茶ノ水駅 8階建 築42年,東京都千代田区外神田２,['ＪＲ中央線/御茶ノ水駅 歩5分\n東京メトロ銀座線/末広町駅 歩9分\n東京メトロ千代田線/新御茶ノ水駅 歩6分'],8.7万円,,
銀座レジデンス伍番館　１００５号室　１０階,東京都中央区湊２,['東京メトロ有楽町線/新富町駅 歩9分\n東京メトロ日比谷線/八丁堀駅 歩11分\n東京メトロ日比谷線/築地駅 歩10分'],14.5万円,,
東京ロイヤルプラザ,東京都千代田区内神田１,['ＪＲ山手線/神田駅 歩5分\n東京メトロ丸ノ内線/淡路町駅 歩5分\n都営新宿線/小川町駅 歩5分'],8万円,,
東京メトロ半蔵門線 神保町駅 7階建 築43年,東京都千代田区神田神保町３,['東京メトロ半蔵門線/神保町駅 歩3分\n都営新宿線/九段下駅 歩4分\nＪＲ中央線/水道橋駅 歩11分'],7.4万円,,
都営三田線 神保町駅 10階建 築23年,東京都千代田区神田錦町３,['都営三田線/神保町駅 歩8分\n都営新宿線/小川町駅 歩7分\n東京メトロ丸ノ内線/淡路町駅 歩10分'],9.2万円,,
明君モナーク九段,東京都千代田区九段北４,['都営新宿線/市ケ谷駅 歩3分\nＪＲ中央線/市ケ谷駅 歩5分\n東京メトロ東西線/飯田橋駅 歩11分'],7.7万円,,
都営浅草線 人形町駅 9階建 築42年,東京都中央区日本橋小網町,['都営浅草線/人形町駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩8分\n東京メトロ日比谷線/茅場町駅 歩10分'],8.2万円,,
小倉ビル,東京都中央区勝どき２,['都営大江戸線/勝どき駅 歩3分\n都営大江戸線/月島駅 歩10分\n東京メトロ有楽町線/月島駅 歩10分'],8.3万円,,
ルミネ日本橋,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/茅場町駅 歩5分'],9万円,,
九段フラワーホーム,東京都千代田区九段北４,['東京メトロ南北線/市ケ谷駅 歩4分\n都営大江戸線/飯田橋駅 歩11分\n東京メトロ半蔵門線/半蔵門駅 歩12分'],7.6万円,,
ParkCube八丁堀　【パークキューブ八丁堀】,東京都中央区八丁堀４,['ＪＲ山手線/東京駅 歩17分\n東京メトロ日比谷線/八丁堀駅 歩1分\n東京メトロ銀座線/京橋駅 歩9分'],18.2万円,,
セントラルレジデンス番町シティタワー,東京都千代田区九段南２,['東京メトロ半蔵門線/半蔵門駅 歩9分\n東京メトロ東西線/九段下駅 歩10分\nＪＲ総武線/市ケ谷駅 歩12分'],30万円,,
ParkCube八丁堀　【パークキューブ八丁堀】,東京都中央区八丁堀４,['ＪＲ山手線/東京駅 歩17分\n東京メトロ日比谷線/八丁堀駅 歩1分\n東京メトロ銀座線/京橋駅 歩9分'],18.2万円,,
東京メトロ銀座線 末広町駅 13階建 築5年,東京都千代田区外神田６,['東京メトロ銀座線/末広町駅 歩2分\nＪＲ山手線/秋葉原駅 歩10分\nＪＲ山手線/御徒町駅 歩10分'],13.9万円,,
パレ・ドール月島,東京都中央区月島３,['都営大江戸線/勝どき駅 歩6分\n東京メトロ有楽町線/月島駅 歩7分\n東京メトロ日比谷線/築地駅 歩22分'],7.2万円,,
都営浅草線 東銀座駅 5階建 新築,東京都中央区新富１,['都営浅草線/東銀座駅 歩8分\n東京メトロ銀座線/銀座駅 歩11分\nＪＲ山手線/有楽町駅 歩13分'],14.2万円,,
東京メトロ半蔵門線 水天宮前駅 8階建 築33年,東京都中央区日本橋蛎殻町２,['東京メトロ半蔵門線/水天宮前駅 歩2分\n都営浅草線/人形町駅 歩5分\n東京メトロ日比谷線/茅場町駅 歩11分'],7.7万円,,
ＳーＦＯＲＴ日本橋箱崎,東京都中央区日本橋箱崎町,['東京メトロ日比谷線/茅場町駅 歩7分\n東京メトロ半蔵門線/水天宮前駅 歩7分\nＪＲ京葉線/八丁堀駅 歩13分'],14万円,,
中銀日本橋マンシオン,東京都中央区日本橋蛎殻町１,['東京メトロ日比谷線/人形町駅 歩3分\n東京メトロ東西線/茅場町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩5分'],7万円,,
東京メトロ有楽町線 新富町駅 8階建 築47年,東京都中央区明石町,['東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/築地駅 歩7分\n都営大江戸線/月島駅 歩15分'],8.8万円,,
PARK VISITA日本橋浜町　【パークヴィスタ日本橋浜町】,東京都中央区日本橋浜町２,['東京メトロ日比谷線/人形町駅 歩12分\n東京メトロ半蔵門線/水天宮前駅 歩9分\n都営新宿線/浜町駅 歩4分'],16.9万円,,
ＪＲ総武線 市ケ谷駅 8階建 築44年,東京都千代田区九段南３,['ＪＲ総武線/市ケ谷駅 歩10分\n東京メトロ半蔵門線/半蔵門駅 歩10分\n東京メトロ東西線/九段下駅 歩10分'],6.8万円,,
ライオンズマンション九段第2,東京都千代田区九段南３,['都営新宿線/市ケ谷駅 歩7分\n東京メトロ東西線/九段下駅 歩10分\n東京メトロ半蔵門線/半蔵門駅 歩11分'],6.8万円,,
コトー駿河台,東京都千代田区神田駿河台１,['ＪＲ中央線/御茶ノ水駅 歩5分\n東京メトロ千代田線/新御茶ノ水駅 歩7分\n東京メトロ半蔵門線/神保町駅 歩7分'],6.9万円,,
ステュディオ日本橋,東京都中央区日本橋小舟町,['東京メトロ日比谷線/人形町駅 歩5分\nＪＲ総武線快速/新日本橋駅 歩8分\n東京メトロ東西線/日本橋駅 歩7分'],9.5万円,,
エクサス六番町,東京都千代田区六番町,['東京メトロ丸ノ内線/四ツ谷駅 歩3分\nＪＲ中央線/市ケ谷駅 歩5分\n東京メトロ有楽町線/麹町駅 歩7分'],120万円,,
東京メトロ丸ノ内線 四ツ谷駅 4階建 築36年,東京都千代田区六番町,['東京メトロ丸ノ内線/四ツ谷駅 歩3分\nＪＲ中央線/市ケ谷駅 歩5分\n東京メトロ有楽町線/麹町駅 歩7分'],120万円,,
都営新宿線 小川町駅 12階建 築45年,東京都千代田区神田小川町３,['都営新宿線/小川町駅 歩4分\n東京メトロ丸ノ内線/淡路町駅 歩4分\n東京メトロ半蔵門線/神保町駅 歩5分'],7.5万円,,
シティフロントタワー,東京都中央区佃１,['東京メトロ有楽町線/月島駅 歩6分\n東京メトロ日比谷線/八丁堀駅 歩13分\nＪＲ京葉線/越中島駅 歩14分'],13.8万円,,
東京メトロ日比谷線 秋葉原駅 12階建 築21年,東京都千代田区岩本町３,['東京メトロ日比谷線/秋葉原駅 歩6分\n都営新宿線/岩本町駅 歩6分\n東京メトロ日比谷線/小伝馬町駅 歩9分'],11万円,,
勝どき3丁目PJ,東京都中央区勝どき３,['都営大江戸線/勝どき駅 歩6分'],47.3万円,,
東京メトロ日比谷線 人形町駅 11階建 築49年,東京都中央区日本橋蛎殻町１,['東京メトロ日比谷線/人形町駅 歩3分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n東京メトロ東西線/茅場町駅 歩5分'],8.5万円,,
朝日神保町プラザ,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩2分\n東京メトロ東西線/九段下駅 歩10分\nＪＲ中央線/水道橋駅 歩8分'],10万円,,
東京メトロ日比谷線 八丁堀駅 11階建 築51年,東京都中央区新川２,['東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ東西線/茅場町駅 歩5分\nＪＲ京葉線/八丁堀駅 歩2分'],6.3万円,,
ＪＲ総武線快速 馬喰町駅 12階建 築20年,東京都千代田区東神田１,['ＪＲ総武線快速/馬喰町駅 歩6分\n都営新宿線/岩本町駅 歩6分\nＪＲ山手線/秋葉原駅 歩9分'],9万円,,
都営新宿線 岩本町駅 地下1地上11階建 築40年,東京都千代田区岩本町２,['都営新宿線/岩本町駅 歩2分\n東京メトロ日比谷線/秋葉原駅 歩5分\nＪＲ山手線/神田駅 歩6分'],8.7万円,,
パステルコート神田岩本町,東京都千代田区岩本町２,['都営新宿線/岩本町駅 歩2分\nＪＲ山手線/神田駅 歩6分\nＪＲ総武線/秋葉原駅 歩9分'],8.7万円,,
池田ビル,東京都中央区銀座２,['東京メトロ有楽町線/新富町駅 歩6分\n都営浅草線/東銀座駅 歩6分\n都営浅草線/宝町駅 歩7分'],25.3万円,,
APEX秋葉原（エーペックス秋葉原）,東京都千代田区外神田５,['東京メトロ日比谷線/秋葉原駅 歩9分\n東京メトロ銀座線/末広町駅 歩3分\nＪＲ山手線/御徒町駅 歩7分'],10.3万円,,
メインステージ茅場町,東京都中央区新川１,['東京メトロ東西線/茅場町駅 歩8分\n東京メトロ半蔵門線/水天宮前駅 歩11分'],8万円,,
ＪＲ中央線 市ケ谷駅 10階建 築40年,東京都千代田区九段南４,['ＪＲ中央線/市ケ谷駅 歩7分\n東京メトロ半蔵門線/半蔵門駅 歩9分\n都営新宿線/九段下駅 歩11分'],10.8万円,,
