物件名,住所,最寄り駅,賃料,間取り,面積
プルデンシャルタワーレジデンス,東京都千代田区永田町２,['東京メトロ銀座線/赤坂見附駅 歩1分\n東京メトロ有楽町線/永田町駅 歩2分\n東京メトロ千代田線/赤坂駅 歩6分'],40.1万円,,
パークアクシス日本橋茅場町ステーションゲート,東京都中央区日本橋茅場町２,['東京メトロ東西線/茅場町駅 歩3分\nＪＲ京葉線/八丁堀駅 歩9分\n都営浅草線/宝町駅 歩13分'],14.2万円,,
東京メトロ有楽町線 新富町駅 11階建 築12年,東京都中央区入船３,['東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/築地駅 歩8分\n東京メトロ日比谷線/八丁堀駅 歩7分'],11.2万円,,
東京メトロ日比谷線 八丁堀駅 11階建 築2年,東京都中央区入船１,['東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ有楽町線/新富町駅 歩7分\n東京メトロ日比谷線/茅場町駅 歩10分'],14.7万円,,
リバーシティ21新川,東京都中央区新川２,['ＪＲ京葉線/八丁堀駅 歩7分\n東京メトロ有楽町線/月島駅 歩13分\n東京メトロ東西線/茅場町駅 歩14分'],18.5万円,,
ベルドゥムール東京八丁堀,東京都中央区八丁堀２,['東京メトロ日比谷線/八丁堀駅 歩1分\nＪＲ京葉線/八丁堀駅 歩3分\n東京メトロ東西線/茅場町駅 歩5分'],22万円,,
グランパセオ銀座築地,東京都中央区築地６,['都営大江戸線/築地市場駅 歩5分\n東京メトロ日比谷線/築地駅 歩6分\n東京メトロ有楽町線/新富町駅 歩13分'],14.1万円,,
東京メトロ千代田線 新御茶ノ水駅 8階建 築23年,東京都千代田区神田小川町３,['東京メトロ千代田線/新御茶ノ水駅 歩5分\n都営三田線/神保町駅 歩5分\n都営新宿線/小川町駅 歩5分'],24万円,,
キャピタルゲートプレイス ザ・タワー,東京都中央区月島１,['東京メトロ有楽町線/月島駅 歩1分\n都営大江戸線/勝どき駅 歩10分\nＪＲ京葉線/越中島駅 歩15分'],21万円,,
メゾンピオニー日本橋浜町,東京都中央区日本橋浜町２,['東京メトロ半蔵門線/水天宮前駅 歩6分\n東京メトロ日比谷線/人形町駅 歩9分\n都営新宿線/浜町駅 歩3分'],11.3万円,,
東京メトロ有楽町線 月島駅 10階建 築7年,東京都中央区月島３,['東京メトロ有楽町線/月島駅 歩3分\n都営大江戸線/勝どき駅 歩8分\n東京メトロ日比谷線/築地駅 歩22分'],11.4万円,,
カバナ八丁堀,東京都中央区八丁堀２,['東京メトロ日比谷線/八丁堀駅 歩1分\n東京メトロ東西線/茅場町駅 歩5分\nＪＲ山手線/東京駅 歩14分'],19.1万円,,
アジュールテラス日本橋浜町,東京都中央区日本橋浜町１,['都営浅草線/東日本橋駅 歩5分\n東京メトロ日比谷線/人形町駅 歩9分'],12.3万円,,
レガシア千代田三崎町,東京都千代田区神田三崎町３,['ＪＲ中央線/水道橋駅 歩5分\nＪＲ中央線/飯田橋駅 歩8分\n東京メトロ東西線/九段下駅 歩7分'],12万円,,
東京メトロ日比谷線 八丁堀駅 10階建 築18年,東京都中央区八丁堀２,['東京メトロ日比谷線/八丁堀駅 歩1分\n都営浅草線/宝町駅 歩10分\n東京メトロ東西線/茅場町駅 歩8分'],19.1万円,,
プライマル月島,東京都中央区月島１,['都営大江戸線/月島駅 歩3分\n東京メトロ有楽町線/新富町駅 歩13分\n東京メトロ日比谷線/築地駅 歩15分'],13.3万円,,
サンテミリオン大手町北,東京都千代田区内神田２,['ＪＲ山手線/神田駅 歩4分\n都営三田線/大手町駅 歩5分\nＪＲ総武線快速/新日本橋駅 歩10分'],13万円,,
メインステージ日本橋箱崎II,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩10分\n東京メトロ東西線/茅場町駅 歩11分'],7.95万円,,
MMガーデン,東京都中央区新富２,['東京メトロ有楽町線/新富町駅 歩2分\n東京メトロ日比谷線/築地駅 歩5分\nＪＲ京葉線/八丁堀駅 歩9分'],14.3万円,,
Log銀座東,東京都中央区新富１,['東京メトロ有楽町線/新富町駅 歩2分\n東京メトロ日比谷線/築地駅 歩7分\n都営浅草線/宝町駅 歩10分'],12万円,,
都営新宿線 浜町駅 10階建 築2年,東京都中央区日本橋浜町２,['都営新宿線/浜町駅 歩4分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n都営浅草線/人形町駅 歩6分'],15万円,,
ステージグランデ茅場町,東京都中央区新川１,['ＪＲ京葉線/八丁堀駅 歩6分\n東京メトロ日比谷線/茅場町駅 歩7分\n東京メトロ銀座線/日本橋駅 歩13分'],11万円,,
FLATS一番町,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩3分\nＪＲ中央線/四ツ谷駅 歩13分\n東京メトロ有楽町線/麹町駅 歩5分'],13.8万円,,
KDXレジデンス神田,東京都千代田区内神田２,['ＪＲ山手線/神田駅 歩3分\n東京メトロ丸ノ内線/大手町駅 歩7分\nＪＲ総武線快速/新日本橋駅 歩8分'],13.5万円,,
ＪＲ山手線 神田駅 13階建 築10年,東京都千代田区内神田２,['ＪＲ山手線/神田駅 歩3分\n東京メトロ丸ノ内線/大手町駅 歩6分\n東京メトロ銀座線/三越前駅 歩8分'],13.5万円,,
ガラ・ステーション岩本町North,東京都千代田区岩本町３,['ＪＲ山手線/秋葉原駅 歩5分\n都営新宿線/岩本町駅 歩2分\n東京メトロ日比谷線/秋葉原駅 歩3分'],8.8万円,,
セントラル銀座,東京都中央区銀座１,['東京メトロ有楽町線/新富町駅 歩2分\n都営浅草線/宝町駅 歩8分\n東京メトロ日比谷線/築地駅 歩9分'],12.6万円,,
銀座レジデンス伍番館,東京都中央区湊２,['ＪＲ京葉線/八丁堀駅 歩7分\n東京メトロ有楽町線/新富町駅 歩6分\n東京メトロ日比谷線/築地駅 歩10分'],13.7万円,,
トーシンフェニックス日本橋蛎殻町,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩5分\n東京メトロ東西線/茅場町駅 歩6分\n東京メトロ日比谷線/人形町駅 歩11分'],8.4万円,,
東京メトロ有楽町線 月島駅 7階建 築44年,東京都中央区佃３,['東京メトロ有楽町線/月島駅 歩2分\n都営大江戸線/勝どき駅 歩13分\n東京メトロ東西線/門前仲町駅 歩19分'],15.7万円,,
東京メトロ半蔵門線 水天宮前駅 10階建 築7年,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/茅場町駅 歩6分\n東京メトロ日比谷線/人形町駅 歩15分'],10.8万円,,
View Terrace 日本橋,東京都中央区日本橋中洲,['東京メトロ半蔵門線/水天宮前駅 歩7分\n都営新宿線/浜町駅 歩7分\n東京メトロ日比谷線/人形町駅 歩14分'],9.2万円,,
東京メトロ半蔵門線 神保町駅 11階建 築24年,東京都千代田区神田神保町２,['東京メトロ半蔵門線/神保町駅 歩2分\nＪＲ総武線/水道橋駅 歩9分\n都営新宿線/九段下駅 歩4分'],10万円,,
