物件名,販売価格,所在地,専有面積,間取り
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｂ棟,1億4900万円,東京都中央区晴海５,72.88m2（壁芯）,3LDK
パークタワー勝どきサウス,1億4980万円,東京都中央区勝どき４-6-1,57.12m2（壁芯）,1LDK+S（納戸）
ザ・パークハウス月島ディアスタ,1億5000万円,東京都中央区月島２,79.29m2（壁芯）,2LDK
勝どきザ・タワー,1億5300万円,東京都中央区勝どき５,68.16m2,2LDK
THE TOKYO TOWERS MID TOWER,1億5300万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
パークタワー晴海,1億5480万円,東京都中央区晴海２-2-42,62.23m2（18.82坪）（壁芯）,2LDK+S（納戸）
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２-3-30,70.72m2（21.39坪）（壁芯）,3LDK
THE　TOKYO TOWERS　 MID　TOWE…,1億5800万円,東京都中央区勝どき６,80.23m2,2LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（21.39坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２-3-30,70.72m2（21.39坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（壁芯）,3LDK
THE TOKYO TOWERS MID TOWER,1億5800万円,東京都中央区勝どき６,65.14m2（壁芯）,2LDK
クレヴィア日本橋浜町公園,1億5980万円,東京都中央区日本橋浜町１,70.02m2（壁芯）,3LDK
勝どきザ・タワー,1億6400万円,東京都中央区勝どき５,79.84m2（24.15坪）（壁芯）,3LDK
パークタワー勝どきサウス,1億6480万円,東京都中央区勝どき４-6-1,56.71m2（17.15坪）（壁芯）,2LDK
◆ドゥ・トゥールEAST棟◆東向き住戸で日当たり・眺…,1億6480万円,東京都中央区晴海３,70.7m2（壁芯）,2LDK
ウィルローズ東京イースト,1億6500万円,東京都中央区八丁堀４,70.48m2（壁芯）,2LDK
センチュリーパークタワー,1億6900万円,東京都中央区佃２,90.15m2（壁芯）,2LDK
パークタワー晴海,1億6900万円,東京都中央区晴海２,82.27m2（壁芯）,3LDK
晴海アイランドトリトンスクエアビュータワー,1億6980万円,東京都中央区晴海１-6-1,94.41m2（28.55坪）（壁芯）,3LDK
パークタワー晴海,1億6980万円,東京都中央区晴海２,70.09m2（壁芯）,3LDK
勝どきザ・タワー,1億6980万円,東京都中央区勝どき５-3-1,71.18m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億7280万円,東京都中央区晴海２-3-2,73.48m2（22.22坪）（壁芯）,3LDK
ドゥ・トゥールＷＥＳＴ棟,1億7280万円,東京都中央区晴海３-13-2,70.7m2（壁芯）,2LDK
HARUMI FLAG SEA VILLAGE E棟,1億7500万円,東京都中央区晴海５,85.73m2（壁芯）,3LDK
プラウド銀座東レジデンス,1億7500万円,東京都中央区明石町,73.22m2（壁芯）,2LDK
パークタワー晴海,1億7770万円,東京都中央区晴海２,70.09m2（壁芯）,3LDK
コスモ日本橋浜町,1億7800万円,東京都中央区日本橋浜町３,71.35m2（21.58坪）（壁芯）,3LDK
パークタワー晴海,1億7980万円,東京都中央区晴海２,71.42m2（21.60坪）（壁芯）,3LDK
晴海フラッグ サンビレッジ E棟,1億7980万円,東京都中央区晴海５,84.76m2（壁芯）,4LDK
勝どき ザ・タワー,1億7980万円,東京都中央区勝どき５-3-1,84.6m2（25.59坪）（壁芯）,4LDK
ザ・パークハウス晴海タワーズ ティアロレジデンス,1億7980万円,東京都中央区晴海２,85.73m2（壁芯）,3LDK
ドゥ・トゥール　ＷＥＳＴ,1億8400万円,東京都中央区晴海３,72.25m2（壁芯）,3LDK+S（納戸）
ＤＥＵＸ　ＴＯＵＲＳ　ＷＥＳＴ,1億8500万円,東京都中央区晴海３,72.95m2（22.06坪）（壁芯）,2LDK
パークタワー晴海,1億8500万円,東京都中央区晴海２-2-42,82.27m2（24.88坪）,2LDK
パークタワー晴海,1億8800万円,東京都中央区晴海２,70.84m2（壁芯）,3LDK
THE TOKYO TOWERS SEA TOWER,1億9800万円,東京都中央区勝どき６,90.27m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２-3-30,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズクロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（壁芯）,3LDK+S（納戸）
ファミール月島グランスイートタワー,1億9800万円,東京都中央区佃２,93.5m2（壁芯）,3LDK
スカイライトタワー,1億9800万円,東京都中央区佃１,103.85m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（壁芯）,3LDK+S（納戸）
勝どきザ・タワー,1億9800万円,東京都中央区勝どき５,72.09m2（壁芯）,2LDK
勝どきザ・タワー,1億9900万円,東京都中央区勝どき５,70.01m2（21.17坪）（壁芯）,2LDK
パークタワー晴海,2億480万円,東京都中央区晴海２,78.59m2（壁芯）,3LDK
THE TOKYO TOWERS  MID TOWE…,2億1800万円,東京都中央区勝どき６,91.58m2（壁芯）,3LDK
勝どき　ザ・タワー,2億1800万円,東京都中央区勝どき５-3-1,84.62m2（壁芯）,2LDK
パークタワー勝どきサウス,2億1800万円,東京都中央区勝どき４-6-1,75.31m2（22.78坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億1900万円,東京都中央区勝どき４,72.46m2（壁芯）,2LDK+S（納戸）
アイ・マークタワー,2億1980万円,東京都中央区月島１,90.35m2（壁芯）,3LDK
パークタワー勝どきミッド,2億2800万円,東京都中央区勝どき４,68.87m2,3LDK
26階「パークタワー勝どきサウス」勝どきSelect…,2億2800万円,東京都中央区勝どき４,72.38m2（壁芯）,3LDK+2S（納戸）
THE TOKYO TOWERS MID TOWER,2億2900万円,東京都中央区勝どき６,106.87m2（壁芯）,3LDK
パークタワー勝どきサウス,2億2980万円,東京都中央区勝どき４,75.31m2（壁芯）,3LDK
パークタワー勝どきサウス,2億2999万円,東京都中央区勝どき４,77.61m2（壁芯）,3LDK
勝どきザ・タワー,2億3800万円,東京都中央区勝どき５-3-1,87.98m2（壁芯）,2LDK+S（納戸）
THE TOKYO TOWERS SEA TOWER,2億3800万円,東京都中央区勝どき６,91.27m2（壁芯）,3LDK
イニシア築地レジデンス,2億4000万円,東京都中央区築地７,75.8m2（壁芯）,2LDK
パークタワー勝どきサウス,2億4800万円,東京都中央区勝どき４-6-1,72.38m2（21.89坪）,2LDK
ファミール月島グランスイートタワー,2億4980万円,東京都中央区佃２-19-1,107.64m2（壁芯）,3LDK
ハウスコート築地,2億4980万円,東京都中央区築地３,88.22m2（26.68坪）（壁芯）,3LDK
