物件名,販売価格,所在地,専有面積,間取り
日本橋ヴォアール,9980万円,東京都中央区東日本橋３,57.09m2（壁芯）,2LDK
【東京駅徒歩圏内／リノベーション】日本橋八重洲デュー…,9980万円,東京都中央区日本橋３,41.04m2（壁芯）,1LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６-5-15,66.5m2（20.11坪）（壁芯）,2LDK
日本橋八重洲デュープレックスポーション,9980万円,東京都中央区日本橋３,41.04m2（12.41坪）（壁芯）,1LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６-5-15,66.5m2（20.11坪）（壁芯）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６,66.5m2（20.11坪）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６,66.5m2（壁芯）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６-5-15,66.5m2（20.11坪）（壁芯）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６,66.5m2（壁芯）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６,66.5m2（壁芯）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６,66.5m2（壁芯）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６-5-15,66.5m2（20.11坪）（壁芯）,2LDK
日本橋八重洲デュープレックススポーション,9980万円,東京都中央区日本橋３-5-9,41.04m2（12.41坪）,1LDK
パークタワー晴海,9980万円,東京都中央区晴海２,48.02m2（壁芯）,1LDK+S（納戸）
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６-5-15,66.5m2（壁芯）,2LDK
シティハウス月島駅前ベイブリーズコート,9980万円,東京都中央区佃３,56.41m2（17.06坪）（壁芯）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６,66.5m2（20.11坪）（壁芯）,2LDK
東京八重洲アムフラット,9980万円,東京都中央区新川２,56.06m2（壁芯）,2LDK
日本橋八重洲デュープレックスポーション,9980万円,東京都中央区日本橋３,41.04m2（壁芯）,1LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６,66.5m2（20.11坪）（壁芯）,2LDK
日本橋ヴォアール,9980万円,東京都中央区東日本橋３,54.32m2（壁芯）,2LDK
プロスタイル日本橋馬喰町,9980万円,東京都中央区東日本橋３,68.1m2（20.60坪）（壁芯）,1LDK+S（納戸）
日本橋八重洲デュープレクスポーション,9980万円,東京都中央区日本橋３-5-9,41.04m2（12.41坪）（壁芯）,1LDK
日本橋八重洲デュープレックスポーション,9980万円,東京都中央区日本橋３,41.04m2（壁芯）,1LDK
ジオ勝どき,9980万円,東京都中央区勝どき３,55.96m2（16.92坪）（壁芯）,2LDK
ベイサイドタワー晴海,9980万円,東京都中央区晴海３,57.2m2（17.30坪）（壁芯）,2LDK
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６-5-15,66.5m2（20.11坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズ クロノレジデンス,9980万円,東京都中央区晴海２,59.79m2（18.08坪）（壁芯）,2LDK
HARUMIFLAGSUNVILLAGE,9980万円,東京都中央区晴海５,61.18m2,2LDK+S（納戸）
ルミネ東京ベイフロント,9980万円,東京都中央区勝どき６-5-15,66.5m2（壁芯）,2LDK
クレストシティレジデンス,9990万円,東京都中央区勝どき５,70.31m2（壁芯）,2LDK
ライオンズマンション箱崎町,9999万円,東京都中央区日本橋箱崎町,75.22m2（壁芯）,3LDK
ライオンズマンション箱崎町,9999万円,東京都中央区日本橋箱崎町37-4,75.22m2（22.75坪）（壁芯）,3LDK
ライオンズマンション箱崎町,9999万円,東京都中央区日本橋箱崎町,75.22m2（22.75坪）（壁芯）,3LDK
ライオンズマンション箱崎町,9999万円,東京都中央区日本橋箱崎町３７-４,75.22m2（壁芯）,3LDK
ドゥ・トゥール　イースト,1億円,東京都中央区晴海３,42.88m2（壁芯）,1LDK
ドゥ・トゥール　イースト,1億円,東京都中央区晴海３,42.88m2（12.97坪）（壁芯）,2K
ドゥ・トゥール　ＥＡＳＴ,1億円,東京都中央区晴海３,42.88m2（12.97坪）（壁芯）,2K
ドゥ・トゥールキャナル＆スパEAST,1億円,東京都中央区晴海３,42.88m2（12.97坪）（壁芯）,2K
ザ・パームス日本橋リバーサイドタワー,1億140万円,東京都中央区東日本橋２,62.1m2（壁芯）,2LDK
MID TOWER GRAND,1億280万円,東京都中央区月島１,42.05m2（壁芯）,1LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億480万円,東京都中央区晴海２-3-2,44.15m2（壁芯）,1LDK
パークリュクス銀座８丁目mono,1億500万円,東京都中央区銀座８-15-4,42m2（壁芯）,1LDK
サンクレスト茅場町,1億500万円,東京都中央区新川１,109.25m2（33.04坪）（壁芯）,3LDK
パークリュクス銀座８丁目mono,1億500万円,東京都中央区銀座８-15-4,42m2（12.70坪）（壁芯）,1LDK
晴海ビュータワー,1億500万円,東京都中央区晴海１-6-1,69.86m2（21.13坪）,2LDK+S（納戸）
ベイサイドタワー晴海,1億500万円,東京都中央区晴海３,55.28m2（16.72坪）（壁芯）,2LDK
晴海アイランドトリトンスクエアビュータワー,1億500万円,東京都中央区晴海１,69.86m2（21.13坪）（壁芯）,2LDK+S（納戸）
晴海ビュータワー1号棟,1億500万円,東京都中央区晴海１-6-1,69.86m2（21.13坪）（壁芯）,2LDK+S（納戸）
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｄ棟,1億500万円,東京都中央区晴海５,61.51m2（18.60坪）（壁芯）,2LDK
晴海ビュータワー1号棟,1億500万円,東京都中央区晴海１,69.86m2（21.13坪）（壁芯）,2LDK+S（納戸）
シティタワー銀座東（SOHO棟）,1億580万円,東京都中央区湊２,44.8m2（壁芯）,1LDK
シティタワー銀座東,1億580万円,東京都中央区湊２,44.8m2（13.55坪）（壁芯）,2K
プラネ勝どき,1億580万円,東京都中央区勝どき５-1-20,69.02m2（20.87坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億780万円,東京都中央区晴海２,58.31m2（壁芯）,2LDK
パークホームズ日本橋浜町二丁目リビオガーデン,1億800万円,東京都中央区日本橋浜町２,55.92m2（16.91坪）（壁芯）,1LDK
HARUMI　FLAG　PARK　VILLAGE,1億880万円,東京都中央区晴海５,66.85m2（壁芯）,2LDK
アイ・マーク　タワー,1億970万円,東京都中央区月島１,54.91m2（16.61坪）（壁芯）,2LDK
THE TOKYO TOWERS SEA TOWER,1億980万円,東京都中央区勝どき６-3-1,63.07m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億980万円,東京都中央区晴海２,64.55m2（19.52坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億980万円,東京都中央区晴海２,57.65m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億980万円,東京都中央区晴海２,56.79m2（17.17坪）（壁芯）,2LDK
ザ・晴海レジデンス,1億980万円,東京都中央区晴海５,75.02m2（22.69坪）（壁芯）,2LDK+S（納戸）
クレヴィア日本橋浜町公園,1億990万円,東京都中央区日本橋浜町１,55.26m2（16.71坪）（壁芯）,2LDK
スカイライトタワー,1億999万円,東京都中央区佃１-１１-７,62.01m2（壁芯）,2LDK
スカイライトタワー,1億999万円,東京都中央区佃１-11-7,62.01m2（18.75坪）（壁芯）,2LDK
スカイライトタワー,1億999万円,東京都中央区佃１,62.01m2（壁芯）,2LDK
オーベル明石町レジデンス,1億1000万円,東京都中央区明石町,60.1m2（壁芯）,2LDK
銀座タワー,1億1000万円,東京都中央区銀座１,82.21m2（壁芯）,1LDK
マイキャッスル水天宮前壱番館,1億1000万円,東京都中央区日本橋蛎殻町２,63.18m2（19.11坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億1300万円,東京都中央区晴海２-3-30,63.64m2（壁芯）,2LDK+S（納戸）
スカイライトタワー,1億1350万円,東京都中央区佃１,62.01m2（壁芯）,1LDK
ファミール日本橋グランスイートプラザ,1億1460万円,東京都中央区日本橋堀留町２,64.79m2（19.59坪）（壁芯）,2LDK
晴海フラッグ　ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬ…,1億1480万円,東京都中央区晴海５,62.39m2（壁芯）,1LDK
ファミール東銀座グランスイートタワー,1億1480万円,東京都中央区築地１,53.17m2（壁芯）,2LDK
パークシティ中央湊ザタワー,1億1499万円,東京都中央区湊２-15-14,40.19m2（12.15坪）（壁芯）,1LDK
パークシティ中央湊ザタワー,1億1499万円,東京都中央区湊２,40.19m2（12.15坪）（壁芯）,1LDK
パークシティ中央湊ザタワー,1億1499万円,東京都中央区湊２,40.19m2（壁芯）,1LDK
プライムスタイル東日本橋,1億1500万円,東京都中央区東日本橋３,61.95m2（壁芯）,2LDK
アスコットパーク日本橋人形町アトリエ,1億1500万円,東京都中央区日本橋人形町２,56.97m2（17.23坪）（壁芯）,2LDK
ピアース東京インプレイス,1億1500万円,東京都中央区新川２,63.25m2（19.13坪）（壁芯）,2LDK
HARUMI FLAG SUN VILLAGE晴海フ…,1億1600万円,東京都中央区晴海５,65.12m2（壁芯）,2LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｆ棟,1億1600万円,東京都中央区晴海５,65.12m2（19.69坪）（壁芯）,2LDK
HARUMI FLAG SUN VILLAGE F棟,1億1600万円,東京都中央区晴海５,65.12m2（19.69坪）（壁芯）,2LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｆ棟,1億1600万円,東京都中央区晴海５,65.12m2（19.69坪）（壁芯）,2LDK
ＣＡＰＩＴＡＬ　ＧＡＴＥ　ＰＬＡＣＥ　ＴＨＥ　ＴＯＷ…,1億1700万円,東京都中央区月島１,51.76m2（15.65坪）（壁芯）,1LDK
ブリリア日本橋三越前,1億1800万円,東京都中央区日本橋本町３-10-7,58.78m2（17.78坪）（壁芯）,1LDK
ザ・晴海レジデンス,1億1800万円,東京都中央区晴海５,79.2m2（壁芯）,2LDK
ベイサイドタワー晴海,1億1800万円,東京都中央区晴海３-16-1,66.24m2（20.03坪）（壁芯）,3LDK
ザ・パークハウス 晴海タワーズ ティアロレジデンス,1億1800万円,東京都中央区晴海２,59.43m2（17.97坪）（壁芯）,2LDK
Brillia月島四丁目,1億1800万円,東京都中央区月島４,58.4m2（17.66坪）（壁芯）,2LDK
ベイサイドタワー晴海,1億1800万円,東京都中央区晴海３,66.24m2（壁芯）,3LDK
ベイサイドタワー晴海,1億1800万円,東京都中央区晴海３,66.24m2（20.03坪）（壁芯）,3LDK
HARUMI FLAG SUN VILLAGE F棟,1億1800万円,東京都中央区晴海５,65.12m2,2LDK
ザ晴海レジデンス,1億1800万円,東京都中央区晴海５-1-17,79.2m2（23.95坪）（壁芯）,2LDK
ザ・晴海レジデンス,1億1800万円,東京都中央区晴海５-1-17,79.2m2（23.95坪）（壁芯）,2LDK
ザ・晴海レジデンス,1億1800万円,東京都中央区晴海５,79.2m2（23.95坪）（壁芯）,2LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｆ棟,1億1800万円,東京都中央区晴海５,65.12m2（壁芯）,2LDK
クレストシティレジデンス,1億1800万円,東京都中央区勝どき５-5-14,77.14m2（23.33坪）（壁芯）,3LDK
ベイサイドタワー晴海,1億1800万円,東京都中央区晴海３,66.24m2（壁芯）,3LDK
ザ・晴海レジデンス,1億1800万円,東京都中央区晴海５,79.2m2,2LDK
ザ・パークハウス日本橋浜町,1億1880万円,東京都中央区日本橋浜町３,56.16m2（16.98坪）（壁芯）,2LDK
クレストフォルム日本橋,1億1880万円,東京都中央区日本橋堀留町２,63.24m2（壁芯）,2LDK+S（納戸）
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｅ棟,1億1900万円,東京都中央区晴海５,68.28m2（20.65坪）（壁芯）,2LDK
ベイサイドタワー晴海,1億1900万円,東京都中央区晴海３,55.28m2（16.72坪）（壁芯）,2LDK
ＨＡＲＵМＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｅ棟,1億1900万円,東京都中央区晴海５,68.28m2（20.65坪）（壁芯）,2LDK
シャルマン築地明石町,1億1900万円,東京都中央区明石町,94.44m2（壁芯）,2LDK+S（納戸）
パークタワー勝どきミッド,1億1980万円,東京都中央区勝どき４,44.31m2（13.40坪）（壁芯）,1LDK
アーリアシティ日本橋,1億1980万円,東京都中央区日本橋蛎殻町１,60.86m2（壁芯）,2LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,1億1990万円,東京都中央区勝どき６,63.07m2（19.07坪）（壁芯）,1LDK+S（納戸）
CAPITAL　GATE　PLACE　THE　TOW…,1億1999万円,東京都中央区月島１-5-1,51.76m2（15.65坪）（壁芯）,2LDK
ザ・パークハウス日本橋大伝馬町,1億2000万円,東京都中央区日本橋大伝馬町,56.56m2（17.10坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億2000万円,東京都中央区晴海２,63.7m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億2000万円,東京都中央区晴海２,58.97m2（17.83坪）（壁芯）,2LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ D…,1億2000万円,東京都中央区晴海５,79.08m2（壁芯）,3LDK
HARUMI FLAG PARK VILLAGE　T…,1億2000万円,東京都中央区晴海５-6-7,47.74m2（壁芯）,1LDK
THE TOYOMI TOWER MARINE＆SK…,1億2000万円,東京都中央区豊海町41,59.61m2（壁芯）,2LDK
サンクタス築地,1億2000万円,東京都中央区築地７,55.69m2（壁芯）,2LDK
ヴェル・クレール勝どき,1億2000万円,東京都中央区勝どき２,60.8m2（壁芯）,2LDK
オーベル月島リバージュグラン,1億2000万円,東京都中央区月島３,71.98m2（21.77坪）,2LDK
HARUMI FLAG SUN VILLAGE TO…,1億2000万円,東京都中央区晴海５,49.38m2（壁芯）,1LDK
パークタワー勝どきミッド,1億2100万円,東京都中央区勝どき４,47.87m2（14.48坪）（登記）,1LDK
パークタワー勝どきミッド,1億2100万円,東京都中央区勝どき４,50.01m2（15.12坪）（壁芯）,1LDK
パークタワー勝どきミッド,1億2100万円,東京都中央区勝どき４,50.01m2（壁芯）,1LDK
パークタワー勝どきミッド,1億2100万円,東京都中央区勝どき４,47.87m2（14.48坪）（壁芯）,1LDK
パークタワー勝どきミッド,1億2100万円,東京都中央区勝どき４,50.01m2（15.12坪）（壁芯）,1LDK
勝どきザ・タワー,1億2280万円,東京都中央区勝どき５,58.28m2（17.62坪）（壁芯）,2LDK
パークタワー勝どきミッド,1億2280万円,東京都中央区勝どき４,50.01m2（壁芯）,1LDK
勝どきビュータワー,1億2300万円,東京都中央区勝どき１,54.68m2（16.54坪）（壁芯）,1LDK
トルナーレ日本橋浜町,1億2300万円,東京都中央区日本橋浜町３,60.16m2（18.19坪）（壁芯）,1LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｃ棟,1億2300万円,東京都中央区晴海５,66.64m2（20.15坪）（壁芯）,2LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｂ棟,1億2450万円,東京都中央区晴海５,79.17m2（23.94坪）（壁芯）,3LDK
晴海アイランドトリトンスクエアビュータワ1号棟,1億2480万円,東京都中央区晴海１,69.86m2（21.13坪）（壁芯）,2LDK+S（納戸）
ファミール月島グランスイートタワー,1億2500万円,東京都中央区佃２-19-1,59.11m2（17.88坪）,2LDK
パークタワー勝どきサウス,1億2500万円,東京都中央区勝どき４-6,43.95m2（壁芯）,1LDK
HARUMI FLAG PARK VILLAＧE C…,1億2500万円,東京都中央区晴海５,72.46m2（壁芯）,1LDK+S（納戸）
ザ・パークハウス晴海タワーズティアロレジデンス,1億2500万円,東京都中央区晴海２,59.79m2（壁芯）,2LDK
希少なパークビューＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　…,1億2500万円,東京都中央区晴海５,78.56m2（23.76坪）（壁芯）,3LDK+S（納戸）
銀座タワー,1億2500万円,東京都中央区銀座１,87.87m2（壁芯）,2LDK
マイキャッスル月島,1億2500万円,東京都中央区月島１-11-8,87.13m2（26.35坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ  クロノレジデンス,1億2500万円,東京都中央区晴海２,63.68m2（壁芯）,2LDK
シティフロントタワー,1億2500万円,東京都中央区佃１,80.52m2（壁芯）,2LDK+S（納戸）
グランスイート八丁堀,1億2780万円,東京都中央区湊２,68.95m2（20.85坪）（壁芯）,3LDK
ライオンズ築地リバーノート,1億2800万円,東京都中央区築地６-18-4,57.25m2（17.31坪）（壁芯）,2LDK
ライオンズ築地リバーノート,1億2800万円,東京都中央区築地６-18-4,57.25m2（17.31坪）（壁芯）,2LDK
パークタワー晴海,1億2800万円,東京都中央区晴海２,67.82m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億2880万円,東京都中央区晴海２,62.94m2（壁芯）,2LDK
勝どきザ・タワー,1億2900万円,東京都中央区勝どき５,54.94m2（16.61坪）（壁芯）,2LDK
勝どきビュータワー,1億2980万円,東京都中央区勝どき１-8-1,54.68m2（壁芯）,2LDK
プラウド日本橋三越前,1億2980万円,東京都中央区日本橋堀留町１,57.22m2（壁芯）,2LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｄ…,1億2980万円,東京都中央区晴海５,79.08m2（23.92坪）（壁芯）,3LDK
勝どきビュータワー,1億2980万円,東京都中央区勝どき１,54.68m2,1LDK
ドゥ・トゥール　ＥＡＳＴ,1億2980万円,東京都中央区晴海３,55.77m2（16.87坪）（壁芯）,2LDK
ドゥトゥールウエストタワー,1億3000万円,東京都中央区晴海３-13-2,64.59m2（19.53坪）,2LDK
スカイライトタワー,1億3000万円,東京都中央区佃１,72.7m2（21.99坪）（壁芯）,2LDK
ドゥトゥール・ウエストタワー41階,1億3000万円,東京都中央区晴海３,64.59m2（壁芯）,1LDK
ドゥトゥールウエスト,1億3000万円,東京都中央区晴海３-13-2,64.59m2（壁芯）,1LDK
サンウッド東京茅場町パークフロント,1億3000万円,東京都中央区新川１,62.81m2（18.99坪）（壁芯）,2LDK
パークタワー晴海,1億3000万円,東京都中央区晴海２,72.77m2（壁芯）,2LDK
グリーンパーク日本橋堀留町,1億3000万円,東京都中央区日本橋堀留町２,71.1m2（壁芯）,3LDK
インプレスト東京八丁堀ル・サンク,1億3000万円,東京都中央区八丁堀３,58.83m2（壁芯）,2LDK
パークタワー晴海,1億3200万円,東京都中央区晴海２,73.56m2（22.25坪）（壁芯）,3LDK
パークタワー晴海,1億3280万円,東京都中央区晴海２,67.82m2（20.51坪）（壁芯）,3LDK
クレストシティレジデンス,1億3300万円,東京都中央区勝どき５-5-14,81.96m2（壁芯）,3LDK
パークホームズ日本橋時の鐘通り,1億3300万円,東京都中央区日本橋本町４,56.69m2（17.14坪）（壁芯）,2LDK
パークホームズ日本橋時の鐘通り,1億3300万円,東京都中央区日本橋本町４,56.69m2（壁芯）,2LDK
パークホームズ日本橋時の鐘通り,1億3300万円,東京都中央区日本橋本町４,56.69m2（17.14坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億3320万円,東京都中央区晴海２,70.89m2（21.44坪）（壁芯）,3LDK
HARUMI FLAG SUN VILLAGE E棟,1億3380万円,東京都中央区晴海５,84.76m2（壁芯）,4LDK
マイキャッスルリバーフロントタワー銀座東,1億3480万円,東京都中央区明石町7-8,75.91m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億3480万円,東京都中央区晴海２-3-2,65.54m2（壁芯）,2LDK
パークタワー晴海,1億3500万円,東京都中央区晴海２-2-42,68.42m2（壁芯）,2LDK+S（納戸）
ザ・パークハウス　晴海タワーズ　ティアロレジデンス,1億3500万円,東京都中央区晴海２,73.66m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　ティアロレジデンス,1億3500万円,東京都中央区晴海２,73.66m2（22.28坪）（壁芯）,3LDK
グランスイート八丁堀,1億3500万円,東京都中央区湊２,68.95m2（20.85坪）（壁芯）,3LDK
ドゥ・トゥール,1億3500万円,東京都中央区晴海３,58.06m2（17.56坪）（壁芯）,2LDK
ベイサイドタワー晴海,1億3500万円,東京都中央区晴海３,72.4m2（21.90坪）（壁芯）,3LDK
パークハウスエスプラナード,1億3580万円,東京都中央区新川２,71.2m2（21.53坪）（壁芯）,2LDK
プレミスト日本橋浜町公園,1億3680万円,東京都中央区日本橋浜町２,65.1m2（19.69坪）（壁芯）,3LDK
ドゥトゥール・イースト,1億3760万円,東京都中央区晴海３,64.59m2（壁芯）,2LDK+S（納戸）
DEUX TOURS CANAL&SPA EAST,1億3760万円,東京都中央区晴海３-13-1,64.59m2（壁芯）,2LDK
ドゥ・トゥール　EAST棟,1億3760万円,東京都中央区晴海３-13-1,64.59m2（19.53坪）（壁芯）,2LDK
DEUX TOURS(ドゥ・トゥール),1億3760万円,東京都中央区晴海３,64.59m2,2LDK
ドゥ・トゥール EAST,1億3800万円,東京都中央区晴海３,70.7m2（壁芯）,2LDK
グラーサ東京イースト,1億3800万円,東京都中央区新川２,67.14m2（20.30坪）（壁芯）,3LDK
グラーサ東京イースト,1億3800万円,東京都中央区新川２,67.24m2（壁芯）,3LDK
ベイサイドタワー晴海,1億3800万円,東京都中央区晴海３,72.4m2（21.90坪）（壁芯）,3LDK
グラーサ東京イースト,1億3800万円,東京都中央区新川２,67.24m2（壁芯）,3LDK
グラーサ東京イースト,1億3800万円,東京都中央区新川２,67.24m2（20.34坪）（壁芯）,3LDK
センチュリーパークタワー28階,1億3800万円,東京都中央区佃２,71.44m2（壁芯）,2LDK+S（納戸）
ＤＥＵＸ　ＴＯＵＲＳ　　　　　　　　　ＣＡＮＡＬ＆Ｓ…,1億3800万円,東京都中央区晴海３,54.31m2（16.42坪）（壁芯）,1LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億3800万円,東京都中央区晴海２,66.95m2（20.25坪）（壁芯）,2LDK
グラーサ東京イースト,1億3800万円,東京都中央区新川２,67.24m2（20.34坪）（壁芯）,1DK+2S（納戸）
ドゥ・トゥール,1億3800万円,東京都中央区晴海３,64.59m2（19.53坪）,2LDK
グラーサ東京イースト,1億3800万円,東京都中央区新川２-15-3,67.24m2（20.34坪）（壁芯）,3LDK
グラーサ東京イースト,1億3800万円,東京都中央区新川２,67.24m2（壁芯）,3LDK
パークタワー勝どきミッド,1億3800万円,東京都中央区勝どき４,50.08m2（15.14坪）（壁芯）,1LDK
DEUX　TOURS　CANAL＆SPA　EAST　…,1億3800万円,東京都中央区晴海３,64.59m2（壁芯）,2LDK+S（納戸）
ドゥ・トゥール,1億3800万円,東京都中央区晴海３,70.7m2（21.38坪）（壁芯）,3LDK
ドゥ・トゥール　イースト,1億3800万円,東京都中央区晴海３-13-1,64.59m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億3850万円,東京都中央区晴海２-3-2,60.67m2（18.35坪）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億3850万円,東京都中央区晴海２-３－２,60.67m2（18.35坪）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億3850万円,東京都中央区晴海２,60.67m2（18.35坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズ ティアロレジデンス,1億3850万円,東京都中央区晴海２,60.67m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズ　ティアロレジデンス,1億3850万円,東京都中央区晴海２,60.67m2（18.35坪）（壁芯）,2LDK
ソフィアタワー勝どき,1億3889万円,東京都中央区勝どき３,90m2（27.22坪）（壁芯）,3LDK
CityHouse東京八重洲通り,1億3900万円,東京都中央区新川２,67.88m2（壁芯）,3LDK
ファミール日本橋ブルー・クレール,1億3900万円,東京都中央区日本橋大伝馬町,76.52m2（23.14坪）（壁芯）,2LDK
シティハウス東京八重洲通り,1億3900万円,東京都中央区新川２,67.88m2（壁芯）,3LDK
シティハウス東京八重洲通り,1億3900万円,東京都中央区新川２,67.88m2（壁芯）,3LDK
シティタワー銀座東,1億3950万円,東京都中央区湊２,56.06m2（16.95坪）（壁芯）,2LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＭＩＤ　ＴＯＷＥＲ,1億3960万円,東京都中央区勝どき６,70.78m2（21.41坪）（壁芯）,2LDK
アイ・マークタワー,1億3980万円,東京都中央区月島１,88.26m2（26.69坪）（壁芯）,1LDK
晴海アイランドトリトンスクエアビュータワー,1億3980万円,東京都中央区晴海１,69.86m2（21.13坪）（壁芯）,2LDK+S（納戸）
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｃ…,1億3980万円,東京都中央区晴海５,83.44m2（25.24坪）（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｃ…,1億3980万円,東京都中央区晴海５,78.56m2（23.76坪）（壁芯）,3LDK
ドゥ・トゥール　ＷＥＳＴ,1億3980万円,東京都中央区晴海３,65.25m2（19.73坪）（壁芯）,2LDK
パークシティ中央湊ザ・タワー,1億4000万円,東京都中央区湊２,53.69m2（壁芯）,2LDK
クレストシティレジデンス,1億4000万円,東京都中央区勝どき５,80.86m2（壁芯）,3LDK
パークホームズ日本橋本町,1億4180万円,東京都中央区日本橋本町４,56.93m2（17.22坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億4200万円,東京都中央区晴海２,57.65m2（17.43坪）（壁芯）,2LDK
ザ・クレストタワー,1億4280万円,東京都中央区佃２-11-6,78.57m2（23.76坪）（壁芯）,3LDK
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｂ…,1億4280万円,東京都中央区晴海５,78.83m2（23.84坪）（壁芯）,3LDK
ドゥ・トゥール　ウエスト,1億4280万円,東京都中央区晴海３,56.48m2（17.08坪）（壁芯）,2LDK
HARUMI　FLAG　PARK　VILLAGE　C…,1億4280万円,東京都中央区晴海５,87.43m2（壁芯）,3LDK
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,1億4290万円,東京都中央区勝どき６,73.26m2（22.16坪）（壁芯）,2LDK
THE TOKYO TOWERS SEA TOWER,1億4290万円,東京都中央区勝どき６,73.26m2（22.16坪）（壁芯）,2LDK
THE　TOKYO　TOWERS　SEA TOWER,1億4290万円,東京都中央区勝どき６,73.26m2,2LDK
アイ・マークタワー（Ｉ－ＭＡＲＫ　ＴＯＷＥＲ）,1億4300万円,東京都中央区月島１,89.83m2（27.17坪）（壁芯）,2LDK
パークタワー晴海,1億4420万円,東京都中央区晴海２,69.25m2（20.94坪）（壁芯）,2LDK
パークホームズ日本橋時の鐘通り,1億4450万円,東京都中央区日本橋本町４,59.48m2（17.99坪）（壁芯）,2LDK
パークホームズ日本橋時の鐘通り,1億4450万円,東京都中央区日本橋本町４,59.48m2（17.99坪）（壁芯）,2LDK
グランスイート八丁堀,1億4480万円,東京都中央区湊２,74.04m2（壁芯）,3LDK
